City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,kotabumi,-4.8333,104.9,24.32,83,100,0.92,ID,1699394558
112,atafu village,-8.5421,-172.5159,29.05,75,100,6.04,TK,1699394558
113,arkhangel'sk,64.5401,40.5433,0.63,99,100,2.28,RU,1699394558
114,kandahar,31.0,65.75,16.66,55,70,1.41,AF,1699394558
115,toropets,56.4978,31.6353,7.26,87,97,3.86,RU,1699394559
116,fengrun,39.8333,118.1167,7.58,57,100,1.74,CN,1699394559
117,hadibu,12.65,54.0333,25.87,75,33,2.88,YE,1699394559
118,coquimbo,-29.9533,-71.3436,19.85,63,0,6.69,CL,1699394559
119,isafjordur,66.0755,-23.124,1.17,81,14,2.97,IS,1699394560
120,daru,-9.0763,143.2092,26.55,82,97,5.2,PG,1699394495
121,porto novo,6.4965,2.6036,27.9,83,100,2.5,BJ,1699394561
122,baiquan,47.5833,126.0833,-11.49,88,100,4.39,CN,1699394561
123,college,64.8569,-147.8028,-7.03,86,75,2.06,US,1699394543
124,palikir - national government center,6.9248,158.1611,26.47,89,100,2.06,FM,1699394561
125,olonkinbyen,70.9221,-8.7187,1.46,74,100,2.7,SJ,1699394561
126,vorgashor,67.5833,63.95,0.56,100,100,3.05,RU,1699394562
127,kodiak,57.79,-152.4072,4.48,92,100,11.99,US,1699394562
128,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699394315
129,dudinka,69.4058,86.1778,-8.54,92,100,12.96,RU,1699394562
130,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699394562
131,walvis bay,-22.9575,14.5053,15.53,82,0,2.06,NA,1699394563
132,jamestown,42.097,-79.2353,7.8,81,100,5.66,US,1699394447
133,anadyr,64.75,177.4833,-9.72,85,40,5.0,RU,1699394563
134,bonthe,7.5264,-12.505,26.87,86,73,2.47,SL,1699394563
135,aswan,24.0934,32.907,30.61,48,17,9.26,EG,1699394563
136,alaghsas,17.0187,8.0168,25.69,13,100,5.03,NE,1699394564
137,malakal,9.5334,31.6605,25.23,74,76,0.76,SS,1699394564
138,novi ligure,44.7608,8.7896,13.67,96,7,1.53,IT,1699394565
139,luderitz,-26.6481,15.1594,16.81,75,0,9.72,NA,1699394566
140,ocean city,39.2776,-74.5746,19.1,71,94,0.89,US,1699394552
141,qazvin,36.2797,50.0049,11.24,74,3,5.01,IR,1699394566
142,ha giang,22.8333,104.9833,22.33,99,100,1.02,VN,1699394566
143,quang ngai,15.1167,108.8,23.69,94,84,2.57,VN,1699394567
144,simanggang,1.2472,111.4528,22.99,100,77,0.0,MY,1699394567
145,luis correia,-2.8792,-41.6669,28.0,74,40,7.2,BR,1699394567
146,fuglafjordur,62.244,-6.814,3.26,82,79,4.51,FO,1699394567
147,chelm,51.1431,23.4716,6.67,89,29,2.28,PL,1699394568
148,klyuchi,52.2667,79.1667,-2.19,75,29,2.63,RU,1699394568
149,bushehr,28.9684,50.8385,20.05,56,0,0.0,IR,1699394568
150,lodja,-3.4833,23.4333,21.69,98,88,0.33,CD,1699394569
151,sao joao da barra,-21.6403,-41.0511,23.05,70,0,4.42,BR,1699394569
152,paracuru,-3.41,-39.0306,27.84,75,68,4.81,BR,1699394569
153,sergeyevka,53.88,67.4158,2.47,57,100,3.43,KZ,1699394569
154,altinopolis,-21.0256,-47.3739,29.64,48,0,2.18,BR,1699394502
155,ancud,-41.8697,-73.8203,10.3,77,82,5.8,CL,1699394298
156,kalengwa,-13.4659,25.0027,18.69,89,86,1.1,ZM,1699394570
157,sinop,41.7711,34.8709,12.55,67,17,3.44,TR,1699394470
158,erenhot,43.6475,111.9767,-7.48,52,48,3.49,CN,1699394570
159,mata-utu,-13.2816,-176.1745,27.9,83,90,8.36,WF,1699394570
160,lerwick,60.1545,-1.1494,5.0,80,81,2.57,GB,1699394571
161,puerto ayora,-0.7393,-90.3518,28.98,78,7,2.68,EC,1699394379
162,sinabang,2.4803,96.3801,25.45,85,100,1.01,ID,1699394571
163,lauro de freitas,-12.8944,-38.3272,24.01,94,75,5.66,BR,1699394571
164,afaahiti,-17.75,-149.2833,27.93,85,92,10.6,PF,1699394572
165,chernogorsk,53.8236,91.2842,-15.24,92,20,0.0,RU,1699394572
166,saurimo,-9.6608,20.3916,19.24,96,65,1.2,AO,1699394572
167,qulsary,46.9531,54.0198,10.66,80,3,5.72,KZ,1699394573
168,awjilah,29.1081,21.2869,22.4,39,0,2.29,LY,1699394573
169,rio verde de mato grosso,-18.9181,-54.8442,35.74,23,69,1.4,BR,1699394573
170,babruysk,53.15,29.2333,5.92,94,6,3.03,BY,1699394574
171,charters towers,-20.1,146.2667,23.28,69,52,5.54,AU,1699394575
172,aykhal,66.0,111.5,-19.6,100,91,1.1,RU,1699394575
